model,vocab,auc,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg,fpr
lr,5000,0.8463667794561043,0.7909176915799432,0.7914438502673797,0.6742596810933941,0.7281672816728167,0.830130668716372,0.830130668716372,0.830130668716372,0.8107872594918759,0.752195174904883,0.7791489751945944,0.16986933128362802
nb,5000,0.8168240558492013,0.7057710501419111,0.6126760563380281,0.7927107061503417,0.6911618669314796,0.7190605239385728,0.7190605239385728,0.7190605239385728,0.6658682901383004,0.7558856150444573,0.7051111954350262,0.2809394760614272
lsvm,5000,0.0,0.7795648060548723,0.751219512195122,0.7015945330296127,0.7255594817432273,0.8158102766798417,0.8158102766798417,0.8158102766798417,0.7835148944374819,0.7587024048547273,0.7706848792115345,0.18418972332015826
sgd,5000,0.0,0.771996215704825,0.7391304347826086,0.6970387243735763,0.7174677608440797,0.8088818398096749,0.8088818398096749,0.8088818398096749,0.7740061372961418,0.7529602820916256,0.7631748003268772,0.19111816019032513
svm,5000,0.8518366985868148,0.7805108798486282,0.8165137614678899,0.6082004555808656,0.6971279373368146,0.827893175074184,0.827893175074184,0.827893175074184,0.822203468271037,0.7180468153275248,0.7625105562054992,0.17210682492581597
knn,5000,0.7356156607765516,0.6972563859981078,0.8020304568527918,0.35990888382687924,0.4968553459119497,0.7834912043301759,0.7834912043301759,0.7834912043301759,0.792760830591484,0.5717000440785276,0.6401732751210628,0.21650879566982406
rf,5000,0.855091374188174,0.7748344370860927,0.778393351800554,0.6400911161731208,0.7025,0.8188736681887367,0.8188736681887367,0.8188736681887367,0.7986335099946453,0.7294823921809288,0.7606868340943684,0.18112633181126325
gb,5000,0.8332098547006658,0.7653736991485336,0.823728813559322,0.5535307517084282,0.662125340599455,0.8202898550724637,0.8202898550724637,0.8202898550724637,0.8220093343158928,0.686910303390446,0.7412075978359594,0.17971014492753634
mlp,5000,0.8591016653028727,0.793755912961211,0.7931034482758621,0.6810933940774487,0.732843137254902,0.8320493066255777,0.8320493066255777,0.8320493066255777,0.81257637745072,0.7565713503515132,0.7824462219402399,0.16795069337442226
